
Personal Information	Tab Corner Right	Student Services	Tab Corner Right	Financial Aid	Tab Corner Right	Employee Services	Tab Corner Right	Additional Academic Services	Tab Corner Right
Transparent Image
Search   
RETURN TO MENU | SITE MAP | HELP
Look-Up Classes to Add:

 	
988900485 Jay W. Brink
Fall 2013
Aug 14, 2013 07:40 pm
Transparent Image
 Information	 To register for classes, check the box in front of the CRN (C identifies a closed class, NR identifies class not available for registration at this time, and SR identifies student restrictions on class) and click Register or Add to Worksheet.
Stockton Students: To register for an Independent Study, Internship, Research or non-Engineering Co-op (course will be marked NR) - Click here.

Helpful Codes
WL = Cap, Act & Rem are used only by McGeorge School of Law
Location: NBA = No Building Assigned
Sec: L = Lab; D = Discussion; ON = Online;

Sections Found
ACTY - Activity
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
NR	80821	ARTS	187	01	1	2.000-4.000	Internship	 	TBA	20	0	20	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	TBA	 
SR	80819	ARTS	189	01	1	1.000-4.000	Practicum	 	TBA	20	0	20	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	TBA	 
NR	80755	ARTS	191	01	1	2.000-4.000	Independent Study	 	TBA	1	0	1	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	TBA	 
NR	80738	ARTS	197	01	1	2.000-4.000	Undergraduate Research	 	TBA	1	0	1	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	TBA	 
BENG - Bioengineering
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
SR	81199	BENG	053	01	1	3.000	Gen. Biol. w/Appl for Engrs I	MWF	08:00 am-08:55 am	20	14	6	0	0	0	0	0	0	John Mark Van Ness (P)	08/26-12/13	KHOURY 205	 
SR	80558	BENG	103	01	1	4.000	Biomaterials	TR	10:00 am-11:45 am	25	13	12	0	0	0	0	0	0	Jeffrey Scott Burmeister (P)	08/26-12/13	ANDERH 215	 
SR	81448	BENG	124	01	1	4.000	Biomechanics	MWF	11:00 am-12:15 pm	25	14	11	0	0	0	0	0	0	Shelly Gulati (P)	08/26-12/13	CHMBRS 210	 
SR	81869	BENG	171	01	1	4.000	Bioelectricity	TR	01:00 pm-02:45 pm	25	3	22	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	MCCAFF SPRUCE	 
NR	80771	BENG	191	01	1	1.000-4.000	Independent Study	 	TBA	1	0	1	0	0	0	0	0	0	Jeffrey Scott Burmeister (P)	08/26-12/13	TBA	 
NR	80772	BENG	197	01	1	1.000-4.000	Undergraduate Research	 	TBA	1	0	1	0	0	0	0	0	0	Jeffrey Scott Burmeister (P)	08/26-12/13	TBA	 
BIOL - Biological Sciences
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
C	82444	BIOL	011	01	1	4.000	Human Anatomy and Physiology	MWF	08:00 am-09:15 am	30	31	-1	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	BIOBLG 116	GE III-A: Laboratory Sciences
C	82446	BIOL	011	L01	1	0.000	Human Anatomy & Phys, Lab 1	T	09:00 am-11:50 am	15	16	-1	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	BIOBLG 131	GE III-A: Laboratory Sciences
C	82447	BIOL	011	L02	1	0.000	Human Anatomy & Phys, Lab 2	R	09:00 am-11:45 am	15	15	0	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	BIOBLG 131	GE III-A: Laboratory Sciences
